,cookingMinutes,num_ingredients,preparationMinutes,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,Calories,Fat,Saturated_Fat,Carbohydrates,Sugar,Cholesterol,Sodium,Protein,Vitamin_K,Vitamin_A,Vitamin_C,Manganese,Folate,Fiber,Copper,Magnesium,Phosphorus,Vitamin_B6,Potassium,Vitamin_B1,Iron,Vitamin_B2,Vitamin_E,Zinc,Vitamin_B5,Vitamin_B3,Calcium,Selenium,num_words_instructions,num_steps_instructions,whole30,vegan,vegetarian,paleo,primal,aggregateLikes,ingredients_list,ingredient_types,title,spoonacularSourceUrl
421,,-1.0372360661267659,,-1.1224851708361578,0.17518019816425848,0.8244475555065419,-1.209961672160703,-1.2730924091311833,-0.899654996890844,-0.6983172320356945,-0.8772405790649764,-0.9648296354491097,-0.40646578161559715,-0.4856136818821075,-0.989811025127055,0.8676427621831506,-0.16025268305051363,-0.511215328117697,-0.5697615976233514,-0.08775407293921708,-0.5571156068736518,-0.828838232754275,-1.1513686407710961,-1.409897504218073,-0.9326630497886704,-1.2368805328011003,-0.9792404275481079,-0.5072912541100568,-0.6077594784614118,-0.08181970109228556,-1.264708029249561,-0.7434835340129766,-0.6110001001572337,0.6502628612685287,-0.6651372511578042,-0.2767527827786882,0.6003758026924146,True,True,True,0,0,670,"['collard greens', 'garlic', 'olive oil', 'orange juice', 'raisins', 'salt']","Counter({'Produce': 2, 'Oil, Vinegar, Salad Dressing': 1, 'Beverages': 1, 'Dried Fruits;Produce;Baking': 1, 'Spices and Seasonings': 1})",Citrus Collards with Raisins,https://spoonacular.com/citrus-collards-with-raisins-759057
429,-0.05725071042920042,-1.3174943925592884,-0.9042386444583572,1.7687741550127725,-0.4768090548928496,-0.7756447404789834,0.4192506332621466,0.4811101628018113,0.90518311362118,0.3688419470572987,-1.1818111343597197,-0.8896687563537032,1.739669067222586,-0.7692915309482121,1.6040601984404748,-0.7165605327463115,-0.7638092476741764,-0.6153341595640114,-1.2546161088300374,-0.05089832801856868,-0.12547316314890852,-0.15796564684809433,-0.3290055002282299,0.7999691405665574,2.0028943790874156,0.9075966459213844,0.45015113913890886,-0.3227508133259226,1.2238046039623596,-0.32467630053992674,-0.1324149897385875,1.8728197164983142,1.4907633899475847,-0.9087873769876735,2.0021082049618077,-0.009546549954535648,0.3954693853912492,True,False,False,1,1,204,"['avocado', 'cauliflower', 'lime', 'red onion', 'salmon fillets']","Counter({'Produce': 4, 'Seafood': 1})",5 Ingredient Avocado Lime Salmon,https://spoonacular.com/5-ingredient-avocado-lime-salmon-964279
430,,-0.7569777396942434,,-0.8060602248253308,-0.4768090548928496,0.024401407513779238,-1.3909852616521308,-1.2529990309369368,-1.0924590680935913,-0.7916547695656938,-0.6442013654125732,-0.2942536672697802,-0.40646578161559715,-0.43171229687960433,-1.0937233169361336,-0.7913541512422335,-0.4568962181160221,0.6584946689119912,-1.2546161088300374,-0.776661034958091,0.6864639243035828,-0.791567533537265,-1.1141209995098005,-1.2766604690910948,-0.6832366015835128,-0.9713125415367542,-0.9792404275481079,-0.3525154005491701,-0.6949768157196866,-0.03587385795354258,-1.0185573684863058,-0.6086857084597017,-0.5596660302663276,-0.9897779215993253,-0.6485705091943285,-0.8476024619939232,-0.6290627011145778,True,True,True,1,1,1871,"['bell pepper', 'chipotle powder', 'fresh cilantro', 'jicama', 'lime juice', 'red pepper flakes', 'sea salt']","Counter({'Produce': 3, 'Spices and Seasonings': 3, 'Produce;Spices and Seasonings': 1})",Chili Lime Jicama Sticks,https://spoonacular.com/chili-lime-jicama-sticks-201960
432,,0.6443138924683691,,2.082455145273506,0.17518019816425848,1.2244706295029233,1.8674393491935684,2.4864518201766197,0.9987850900972026,1.9462463313142886,0.7850758194787102,0.364578413550892,4.251254778080997,0.9891291549427214,4.604921231593562,-0.6234915504550057,0.0677112052299882,0.5029421358738075,-0.7191844000684466,-0.25508226506840637,-0.11745006939937787,-0.12069494763108427,0.7608928723305508,3.477281591570485,2.808733673288695,3.2221813122716507,0.9861729766465402,0.7026392165149523,1.1075148209513264,-0.029310166076579294,9.270540251417758,0.45131537430014207,1.8002344970041908,-0.6346546133678659,1.7087024854507749,4.897331543725357,1.6249078891982418,True,False,False,0,0,5532,"['beef brisket', 'beef broth', 'bell pepper', 'carrots', 'fresh parsley', 'garlic', 'kosher salt', 'lb cake', 'olive oil', 'red potatoes', 'tomato paste', 'white onions']","Counter({'Produce': 6, 'Meat': 1, 'Canned and Jarred': 1, 'Spices and Seasonings': 1, 'Bakery/Bread': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Pasta and Rice': 1})",Braised Brisket with Potatoes and Carrots Skinnytaste,https://spoonacular.com/braised-brisket-with-potatoes-and-carrots-skinnytaste-702355
456,,-0.1964610868291984,,1.4140676800006355,0.17518019816425848,-0.7756447404789834,0.6002742227535743,1.7957911932253647,1.0307857658155009,1.591563688700291,0.8399615030030216,0.34226502756944327,2.529988100279512,0.219985157225463,2.917133704027923,0.687427369200895,4.822256528243075,0.4970604230397008,2.829607158002562,1.3199954245045427,0.5596990430610004,0.23958847813334602,3.3879852051163666,2.45462272583396,3.3267732195609456,3.742265002883404,1.5221948141541715,0.5746514914549881,0.2934863398740947,2.8226139544639643,0.6693328767474436,2.013744715940374,3.2023879488815155,1.0907776026006173,2.2065766781426017,2.176686264061258,0.3954693853912492,True,False,False,1,1,4040,"['baby spinach leaves', 'butternut squash', 'chai spice', 'coconut milk', 'hazelnuts', 'juice of orange', 'pepper', 'sea salt', 'skinless boneless chicken breasts']","Counter({'Spices and Seasonings': 3, 'Produce': 2, 'Canned and Jarred;Milk, Eggs, Other Dairy': 1, 'Baking': 1, 'Beverages': 1, 'Meat': 1})",Butternut Squash and Chicken Mash,https://spoonacular.com/butternut-squash-and-chicken-mash-551262
458,-0.05725071042920042,0.3640555660358466,-0.9042386444583572,-0.5590372815668784,-0.4768090548928496,0.024401407513779238,-0.4858673141949921,-0.49040748708863113,-0.11243837422070586,-0.2876320669036971,-1.298330741185921,-0.6970690036717241,0.17853089016819412,-0.25828942431030844,0.6066596399396978,-0.7637718892177192,-0.765443405283529,-1.0105352048854785,-1.0927414061811842,-0.7920564727097543,-0.6646250631173611,-0.6176376038578848,-0.8550069733442657,-0.47136360951410256,-0.39543685365448467,-0.9055660758149313,-0.9077708492137571,-0.34507425374335815,-0.6659043699669283,-0.6462972025111273,-0.5684533030906394,-0.3452172312419371,1.0404902626187784,-0.9913395271921883,2.2793831494031407,-0.6532706563036303,-0.014343449211081638,True,False,False,0,0,159545,"['avocado', 'celery', 'cumin', 'dijon mustard', 'dried dill', 'light tuna', 'pickle juice', 'red apple', 'red onion', 'salt and pepper', 'walnuts']","Counter({'Produce': 4, 'Spices and Seasonings': 3, 'Condiments': 1, 'Canned and Jarred;Seafood': 1, 'Canned and Jarred': 1, 'Nuts;Savory Snacks;Baking': 1})",Avocado Tuna Salad,https://spoonacular.com/avocado-tuna-salad-799404
469,,1.4850888717659367,,2.5255705360386678,0.17518019816425848,-0.7756447404789834,-0.30484372470356436,1.0077592937921864,-0.43804524965439107,-0.27829831315069714,0.5101975192053158,0.012261792791174213,2.455200290474996,1.2087902672276378,3.838174472335664,-0.740352348946598,0.1300760628659503,-0.6441170096032569,-0.28336789293691916,-0.12118860947060721,0.7057193493024564,0.0532349820482958,0.6408906889626376,3.0183540261331157,3.3267732195609456,1.66367122093304,0.5930902958076106,0.1832471694692842,1.601746398748217,-0.2098116926930695,2.736998427158787,1.9095827598310253,3.5661265012513654,-0.42511553563465204,2.15120888263309,5.698950242197814,2.4445335584029033,True,False,False,0,0,143776,"['celery stalk', 'fat-free chicken broth', 'Frozen Mixed Vegetables', 'garlic', 'gluten-free flour', 'lean ground turkey', 'mushrooms', 'olive oil', 'onion', 'paprika', 'parsnip', 'rosemary', 'salt and pepper', 'tomato paste', 'worcestershire sauce']","Counter({'Produce': 6, 'Spices and Seasonings': 2, 'Canned and Jarred': 1, 'Gluten Free;Health Foods;Baking': 1, 'Meat': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Produce;Spices and Seasonings': 1, 'Pasta and Rice': 1, 'Condiments': 1})",Sweet Potato Turkey Shepherds Pie Skinnytaste,https://spoonacular.com/sweet-potato-turkey-shepherds-pie-skinnytaste-720057
473,-0.0758119499109135,-0.47671941326172096,0.16955719131387167,0.1953497724589345,-0.3836677330275484,0.024401407513779238,0.9623214017364299,0.4278655247856847,1.7812016114095959,0.8106396246992957,-0.708984467277334,-0.5596655215754343,-0.40646578161559715,-0.4832086332074551,-0.8866859476498633,-0.5893098515043808,-0.6949758495011931,-0.36805193487901466,-1.0553857055699107,0.16417127208800095,0.8870412680418466,-0.3815898421501546,-0.5992938187721534,-0.8508071764828647,-0.08845045586352135,0.3694967414060908,-0.6576273250435292,-0.376327070327768,-0.25889012942831247,0.8305334698056099,-0.4277957826544936,0.861836024848752,-0.1709937868066088,-0.9730971345846556,-0.6799601255461775,-0.9326226269834262,-0.6290627011145778,True,True,True,1,1,2236,"['avocados', 'cherry tomatoes', 'juice of lemon', 'olive oil', 'parsley', 'red chilli', 'red onion', 'Salt & Pepper']","Counter({'Produce': 6, 'Oil, Vinegar, Salad Dressing': 1, 'Spices and Seasonings': 1})",Guacamole Salad,https://spoonacular.com/guacamole-salad-513572
474,-0.020128231465774252,0.6443138924683691,0.16955719131387167,1.3786639582494242,0.17518019816425848,0.024401407513779238,-0.30484372470356436,-0.055951503107151246,0.31557066351153373,0.023493058196300976,-1.3284728788591085,-0.42461081695087577,1.3820181608261428,-0.36507830124658863,1.1466886716141516,-0.7599137568609161,-0.703031324006974,-0.5790427399493104,-0.980674304347363,-0.5168047068466828,-0.9727118630993341,-0.3567427093388146,-0.40171937382093326,0.5182797298814337,1.6959079812964528,0.5411104705871536,0.23574240413585634,-0.27959216185221375,1.1365872667040848,-0.4789230596485638,-0.32933551834919145,0.7454197209618328,1.0302234486405972,-0.7989781109804641,1.5434710327097922,0.8528008377961385,0.6003758026924146,True,False,False,1,1,3660,"['dried marjoram', 'fresh thyme', 'garlic', 'lemon juice', 'olive oil', 'oregano', 'roma tomatoes', 'salmon fillets', 'salt and pepper', 'shallots', 'yellow squash', 'zucchini']","Counter({'Produce': 7, 'Spices and Seasonings': 2, 'Oil, Vinegar, Salad Dressing': 1, 'Produce;Spices and Seasonings': 1, 'Seafood': 1})",Salmon and Summer Veggies in Foil,https://spoonacular.com/salmon-and-summer-veggies-in-foil-987511
477,-0.0015669919840611694,-1.597752718991811,-0.18837475394353798,-0.9345576648297277,0.2683215200295596,0.8244475555065419,-1.0289380826692753,-1.2794524980274014,-0.5628478849557544,-0.5054196544736957,-1.3392700625032354,-0.8697041478439859,-0.40646578161559715,-0.2467829169256971,-1.0008320257734724,-0.12024218075619998,-0.6943366830168898,0.09334966553271738,-1.0802895059774265,-0.7232435312439864,-0.7705299006111644,-0.8661089319712851,-1.3267564472318925,-1.20833830337122,-0.8942897500648,-1.163250750897815,-0.7290969033778799,-0.41204457499566494,-0.840339044483478,-0.377185835555633,-1.1310833848352226,-0.7373563601241914,-0.644733917514115,-0.9278105723916372,-0.6607775822200475,-0.2038783556448284,0.19056296809008377,True,True,True,1,1,794,"['black pepper', 'brussels sprouts', 'kosher salt', 'olive oil']","Counter({'Spices and Seasonings': 2, 'Produce': 1, 'Oil, Vinegar, Salad Dressing': 1})",Roasted Brussels Sprouts,https://spoonacular.com/roasted-brussels-sprouts-946910
