,cookingMinutes,num_ingredients,preparationMinutes,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,Calories,Fat,Saturated_Fat,Carbohydrates,Sugar,Cholesterol,Sodium,Protein,Vitamin_K,Vitamin_A,Vitamin_C,Manganese,Folate,Fiber,Copper,Magnesium,Phosphorus,Vitamin_B6,Potassium,Vitamin_B1,Iron,Vitamin_B2,Vitamin_E,Zinc,Vitamin_B5,Vitamin_B3,Calcium,Selenium,num_words_instructions,num_steps_instructions,aggregateLikes,ingredients_list,ingredient_types,title,spoonacularSourceUrl
0,-0.029408851206630796,1.4850888717659367,0.885421081828691,-0.8210515928258437,0.2683215200295596,0.8244475555065419,-0.30484372470356436,-0.5390931233295925,-0.560447834276882,-0.5085309057246957,-0.127736081101842,-0.9519113593545866,-0.40646578161559715,-0.4084163352074814,-0.5332267126326188,-0.3318302815871975,-0.3288773213655954,-0.5062096150673934,-0.32072359354819296,-0.015286658875832212,-0.05005608190332129,-0.18281277965943438,0.05156822570239934,-0.2645172247336395,-0.6448633018596424,-0.7247779662638791,-0.3002794333717748,-0.21411006996106938,-0.5205421412031369,-0.4362590624483025,-0.2027437499566603,-0.3942346223522189,-0.5171320866424338,-0.7793870589972774,-0.5836114420217521,0.9499667406412848,0.8052822199935801,50078,"['ancho chile powder', 'avocado', 'black beans', 'carrot', 'chile powder', 'cumin', 'garlic', 'ground flaxseed', 'kale', 'lemon juice', 'lime juice', 'quinoa', 'red bell pepper', 'salt', 'vegetable broth']","Counter({'Produce': 7, 'Spices and Seasonings': 3, 'Ethnic Foods;Spices and Seasonings': 1, 'Pasta and Rice;Canned and Jarred': 1, 'Health Foods;Baking': 1, 'Pasta and Rice;Health Foods': 1, 'Canned and Jarred': 1})",Kale and Quinoa Salad with Black Beans,https://spoonacular.com/kale-and-quinoa-salad-with-black-beans-592479
1,-0.05725071042920042,-0.7569777396942434,-0.5463066992009477,-0.35150053080977717,-0.3836677330275484,-0.7756447404789834,0.9623214017364299,0.8220221844336061,0.14276701463272318,-0.08851198683969841,1.7118340822662597,-0.6994177811434557,-0.40646578161559715,0.4141338904322045,-0.09474832977158265,-0.7096903496898987,-0.5008032216253775,0.24414677117311256,1.982877944147023,0.03089965437915773,-0.11745006939937787,-0.22008347887644444,0.8569270082781523,0.06557929218809389,-0.05007715613965112,-0.36251709191028303,0.5930902958076106,-0.0578459870390202,-0.2007452379227959,0.05929967426242495,0.5568068603985269,0.5799860259646318,0.2396787723206411,-0.8700311654557172,1.9977485360240508,0.002599187901107649,-0.014343449211081638,67131,"['avocado', 'bell pepper', 'fresh cilantro', 'garlic', 'kosher salt', 'lime juice', 'whole wheat pasta']","Counter({'Produce': 4, 'Produce;Spices and Seasonings': 1, 'Spices and Seasonings': 1, 'Pasta and Rice': 1})",Creamy Avocado Pasta,https://spoonacular.com/creamy-avocado-pasta-547775
2,-0.06653133017005695,-0.7569777396942434,-0.5463066992009477,-0.42465037556228,-0.4768090548928496,-1.1756678144753647,-0.1238201352121366,-0.3441254424756156,0.12116655852287171,-0.09473448934169837,-0.7926626405193166,-0.8227285984093569,-0.40646578161559715,0.052669221977098106,-0.22463869453293078,-0.2455637958197291,-0.4631846498842704,-0.8806369512301008,-0.30827169334443505,-0.043744892295573476,0.028570236842078104,-0.5306726390181947,-0.4051202454143558,-0.8822365476437701,-0.6448633018596424,-0.39688678553516915,-0.6218925358763536,-0.3435860243821958,0.43884856863788624,-0.1015107767231754,-0.5332889229816029,0.11432081041695469,-0.2765953020107588,-0.7275701461431968,0.358513015427493,-0.13100392851096862,-0.014343449211081638,142071,"['avocado', 'campari', 'egg whites', 'multigrain bread', 'salt and pepper', 'shallot', 'spinach leaves']","Counter({'Produce': 3, 'Alcoholic Beverages': 1, 'Milk, Eggs, Other Dairy': 1, 'Bakery/Bread': 1, 'Spices and Seasonings': 1})","Avocado Toast with Eggs, Spinach, and Tomatoes",https://spoonacular.com/avocado-toast-with-eggs-spinach-and-tomatoes-818941
3,-0.06653133017005695,-0.7569777396942434,-0.18837475394353798,-1.155747268587296,-0.3836677330275484,0.024401407513779238,-1.209961672160703,-1.498903706933191,-0.8660542873866308,-0.6827609757806946,-1.4148503480121228,-1.1151513936399227,-0.40646578161559715,-0.626073240263521,-0.9780028101487506,1.215043890626879,0.1457026950053856,0.1940896406700768,-0.81879960169851,-1.0351177778193479,-1.4685390568203218,0.6744133023317965,-1.0210018963565615,-1.1437759128930238,-0.8942897500648,-1.1688062392242053,-0.9077708492137571,-0.4388327034965877,-0.7821941529779614,-1.0335550232519608,-1.0607546246171495,-0.9518074462316743,-0.621266914135415,-0.28144782109128313,-0.6860636620590369,-0.556104753458484,-0.42415628381341247,7119,"['garlic', 'ginger', 'kale', 'orange juice', 'sesame oil', 'sesame seeds', 'soy sauce']","Counter({'Produce': 2, 'Produce;Ethnic Foods;Spices and Seasonings': 1, 'Beverages': 1, 'Ethnic Foods': 1, 'Ethnic Foods;Spices and Seasonings': 1, 'Ethnic Foods;Condiments': 1})",Citrus Sesame Kale,https://spoonacular.com/citrus-sesame-kale-495111
4,-0.0758119499109135,-0.47671941326172096,-0.18837475394353798,0.3698252027149047,-0.4768090548928496,-0.7756447404789834,0.6002742227535743,0.5828153011687673,1.5179960536265926,0.5181820071052978,-0.3558265855840204,1.2665089626957697,-0.2504666691399195,-0.09939115942322668,-0.35767791662182696,0.8148134235079767,-0.06352988132275082,-0.04643487139700998,2.8047033575950464,-0.9673934026592533,-0.9983857630978319,0.9477317632565369,0.3592661317739717,0.41359348799595075,-0.798356500755124,-0.5415055362288427,-0.4432185900404766,-0.09951640915156668,-0.4623972496976203,0.35138396278729067,0.6341684966384072,-0.8047552729008289,-0.3939303189042588,0.4536425207126337,-0.5971264157287982,-0.592541967025414,-0.42415628381341247,231494,"['currants', 'honey', 'juice of lemon', 'kale', 'olive oil', 'parmesan cheese', 'pine nuts', 'salt and pepper']","Counter({'Produce': 2, 'Dried Fruits;Produce': 1, 'Nut butters, Jams, and Honey;Health Foods': 1, 'Oil, Vinegar, Salad Dressing': 1, 'Cheese': 1, 'Produce;Baking': 1, 'Spices and Seasonings': 1})",Melt In Your Mouth Kale Salad,https://spoonacular.com/melt-in-your-mouth-kale-salad-689502
5,-0.0739558259627422,-0.7569777396942434,-0.6894794773039115,-0.23384506230575125,-0.588578641131211,-1.1756678144753647,0.05720345427929114,0.6951581103444421,0.47237397453119545,0.319061927041299,0.8530080999063414,2.2776576642761595,-0.33856028559677276,0.09631378174946624,0.4484295592304192,2.385580941721203,0.6929928409747632,1.275073373883134,0.9867259278463892,-0.4796379429815562,-0.48330314437797084,1.9043463764931277,0.768018508050103,0.3702973262284979,0.6598288887519517,0.7471330165503305,-0.40748380087330116,-0.20071600571060805,0.23534144836857812,-0.04571939576898758,0.09966991898105311,-0.2533096229101588,0.22061183207544738,2.3932986311929185,-0.3037206962177653,-0.8961854134164964,-0.8339691184157433,184372,"['almond milk', 'banana', 'honey', 'kale', 'non-fat greek yogurt', 'peanut butter', 'pineapple']","Counter({'Produce': 3, 'Milk, Eggs, Other Dairy': 2, 'Nut butters, Jams, and Honey;Health Foods': 1, 'Nut butters, Jams, and Honey': 1})",Kale Pineapple Smoothie,https://spoonacular.com/kale-pineapple-smoothie-837136
6,-0.0758119499109135,-0.1964610868291984,0.16955719131387167,-0.3540437093098642,-0.3836677330275484,0.024401407513779238,-0.8479144931778476,-1.0640537351439807,-0.49164638148254075,-0.45563963445769606,-0.9658674614771839,-0.48567903121589356,-0.40646578161559715,-0.17312240653732447,-0.9268338785760983,-0.18447670017034476,0.7854182914085763,-0.6979284248940204,-0.980674304347363,0.9227464776699571,-0.11103159439975328,-0.6673318694805649,-0.8648856955918266,-0.9870402825055555,-0.702423251445448,-0.34082330122730126,-0.5504229575420029,-0.26470986824059,-0.4914696954503786,-0.5183052109103434,-0.7864724597666654,-0.14302049291202468,-0.4877983324190588,-0.6983255323132225,-0.6834478606963829,-0.7382908212931335,-1.0388755357169088,16628,"['avocado', 'corn kernels', 'english cucumber', 'grape tomatoes', 'romaine lettuce', 'sea salt', 'snap peas', 'tabasco sauce', 'yellow onion']","Counter({'Produce': 7, 'Spices and Seasonings': 1, 'Condiments': 1})",Mexican Salad with Lime Dressing,https://spoonacular.com/mexican-salad-with-lime-dressing-582897
7,-0.05725071042920042,-1.3174943925592884,-0.5463066992009477,-1.1961704215886793,-0.3836677330275484,0.8244475555065419,-1.0289380826692753,-1.2356072834242697,-0.47084594226564686,-0.30007707190769706,-1.4350950673448604,-0.9307723621090036,-0.34154262157057247,-0.737695793457681,-0.9276210929079851,-0.41021128630962084,-0.7071628434467487,0.1584239351866639,-1.2546161088300374,-0.703260564061272,-0.9903626693483013,-0.8909560647826252,-1.3327484590869705,-1.0474316723250148,-0.9518496996506057,-1.3111362852200348,-1.0149752167152832,-0.5191970889993558,-0.6949768157196866,-0.41000429494044943,-1.046688872573535,-0.535159621794279,-0.6594007946258025,-0.5259100784466993,-0.5670447000582762,-0.2160240935004717,-0.014343449211081638,179942,"['broccoli florets', 'garlic', 'olive oil', 'parmesan cheese', 'salt']","Counter({'Produce': 2, 'Oil, Vinegar, Salad Dressing': 1, 'Cheese': 1, 'Spices and Seasonings': 1})",Weekly Meal Plan #17,https://spoonacular.com/weekly-meal-plan-17-777037
8,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-0.45302689356325104,-0.4768090548928496,-1.1756678144753647,-1.209961672160703,-0.30754086032922856,-0.862854219814801,-0.6858722270316946,0.8943973038754939,2.8343179250765136,-0.40646578161559715,-0.7927997027975103,-0.5418860702833753,0.7893294439933026,0.027809425377426616,1.2131276748856272,1.2731196325328213,-0.37910106917902764,-0.4640477193790975,0.8110725327941666,-0.3879539411808891,-1.0634694635902993,0.7173888383377574,0.1563537808273994,-0.1573402767030732,-0.24089819846199212,0.20626900261581999,0.00022644736975540488,-0.7372423276140143,-0.4432520134625007,0.13701063253882861,0.8346742853711338,-0.5343471830251002,-1.1998288598075788,-1.0388755357169088,11496,"['banana', 'ice cubes', 'kale', 'lemon', 'matcha powder', 'pineapple', 'soy milk']","Counter({'Produce': 4, 'Frozen': 1, 'Tea and Coffee': 1, 'Milk, Eggs, Other Dairy': 1})",Matcha Green Tea and Pineapple Smoothie,https://spoonacular.com/matcha-green-tea-and-pineapple-smoothie-801710
9,-0.0758119499109135,-0.7569777396942434,-0.18837475394353798,-0.8929967740783054,-0.4768090548928496,-0.7756447404789834,-1.209961672160703,-0.6001049495552595,-0.92925562193027,-0.7169847395416944,0.5763302690255926,2.2600418332381738,-0.40646578161559715,-0.913264346707304,-0.874090518339672,0.792916830219804,-0.025954140325437268,0.46227071734009095,-0.47014639599328806,-0.7267424943693644,-0.4528153881297547,0.5377540718694264,-0.2977498708220124,-0.9022103536151866,-0.05007715613965112,-0.07214501896332125,-0.4432185900404766,-0.40013874010636596,-0.4914696954503786,-0.9285359532205483,-0.9130642281591965,-0.5474139695718495,-0.49219839555256506,-0.3359620526966721,-0.6211045948864605,-1.3091405005083685,-1.2437819530180743,8213,"['apple', 'bananas', 'ground flaxseed', 'ice cubes', 'kale', 'orange juice', 'water']","Counter({'Produce': 3, 'Beverages': 2, 'Health Foods;Baking': 1, 'Frozen': 1})",Green Smoothie,https://spoonacular.com/green-smoothie-695486
