,ids,titles,aggregateLikes,spoonacularScore,healthScore,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,veryHealthy,vegetarian,vegan,glutenFree,dairyFree,whole30,calories,fat,saturated_fat,carbs,sugar,cholesterol,sodium,protein
21,733459,Hummus Veggie Wrap Plus 10 Heavenly Hummus to Make at Home,6036,100.0,100.0,234.68,5,1,9,True,True,True,True,True,False,348.38,17.77,2.81,39.82,6.71,0.0,553.22,12.5
22,524349,lemon garlic broccoli,3303,100.0,93.0,74.41,10,4,1,True,True,True,True,True,True,96.22,4.16,0.55,12.88,5.14,0.0,40.96,4.08
23,496929,Mango Spinach Green Smoothie,3402,100.0,100.0,146.87,3,1,2,True,True,True,True,True,False,241.07,4.34,0.59,46.51,30.31,0.0,114.21,8.02
24,810865,Simple Massaged Kale Salad with Lemon Dressing,9562,100.0,88.0,101.53,10,6,4,True,False,False,True,False,False,190.21,14.85,3.09,10.26,3.47,5.67,252.01,5.9
25,588323,Cinnamon toast crunch roasted chickpeas,1056,100.0,100.0,58.95,5,4,13,True,True,True,True,True,False,437.33,8.43,0.95,72.89,17.41,0.0,27.09,21.25
26,611943,Spinach Pesto Quinoa Bowl,3498,100.0,100.0,181.06,15,4,12,True,False,False,True,False,False,430.2,14.11,3.64,57.77,0.77,9.7,670.99,18.48
27,529546,Mint Chocolate Green Protein Smoothie (gluten free & can be vegan!),2705,100.0,100.0,153.17,5,1,7,True,False,False,True,True,False,335.68,10.62,5.63,45.4,20.8,35.44,238.15,0.36
28,573591,Maple Glazed Salmon,11827,100.0,100.0,574.29,15,2,9,True,False,False,True,True,False,393.0,14.88,2.31,17.13,13.61,124.74,430.15,45.51
29,480310,Raspberry Banana Avocado Smoothie,7461,100.0,100.0,386.23,3,1,18,True,True,False,True,False,False,646.96,28.87,7.36,83.63,51.72,24.4,239.74,0.69
30,578449,Creamy avocado and rocket pasta,3073,100.0,100.0,186.1,15,2,15,True,False,False,False,True,False,535.81,23.3,3.36,71.51,6.7,0.0,215.6,13.32
31,702811,Garlic Parmesan Roasted Broccoli,1053360,100.0,61.0,49.95,15,6,2,True,False,False,True,False,False,120.85,8.52,1.7,8.67,2.11,2.83,298.49,4.83
32,669313,Maureen’s Avocado Tabbouleh,2940,100.0,99.0,188.56,50,8,4,True,True,True,False,True,False,163.85,10.95,1.53,15.64,5.31,0.0,95.35,3.17
33,495508,How to Build a Perfect Smoothie (+ a Chocolate Mint Green Smoothie !),4136,100.0,100.0,313.61,5,1,9,True,False,False,True,True,False,354.99,23.36,5.48,21.76,2.12,35.29,518.96,23.95
34,248178,Chipotle Lime Grilled Shrimp Salad in Cilantro Lime Dressing,12650,100.0,86.0,152.41,15,4,5,True,True,True,True,True,False,235.76,8.65,1.26,40.73,7.63,0.0,19.78,8.37
35,775925,Baked Mustard-Crusted Salmon With Asparagus and Tarragon,6141,100.0,100.0,540.36,8,4,9,True,False,False,False,True,False,404.67,22.5,3.35,12.32,2.7,93.55,684.05,38.52
36,505288,Veggie Wraps with Quinoa,9804,100.0,87.0,174.57,5,1,5,True,True,True,True,True,False,222.38,11.24,1.62,26.68,4.19,0.0,159.4,6.76
37,621163,"Pesto Pasta with Lemon, Spinach, Edamame & Toasted Almonds",29340,100.0,81.0,168.78,45,4,12,True,True,True,False,True,False,472.12,18.36,1.67,57.91,4.48,0.0,53.11,23.14
38,550388,Kale Salad with Cranberry Vinaigrette and Walnuts,1009,100.0,95.0,65.73,45,8,2,True,True,False,True,True,False,115.67,7.67,1.03,11.2,4.5,0.0,25.86,3.2
39,538019,Creamy Ginger Green Smoothie,1937,100.0,100.0,202.2,5,1,8,True,True,True,True,True,True,420.1,23.49,3.45,54.74,25.09,0.0,74.86,8.2
40,990084,Garlic Parmesan Broccoli,8691,100.0,75.0,45.18,5,6,2,True,False,False,True,False,False,118.85,8.5,1.7,8.13,1.98,2.83,111.01,4.78
41,595916,Spinach Strawberry Salad with Strawberry Vinaigrette,29013,100.0,77.0,115.85,15,6,4,True,True,True,True,True,True,141.15,13.2,1.51,5.39,2.26,0.0,129.16,2.15
